Fecha;codLinea;codAseguradora;primaAcumulada;primaMensual
2010-01-01 00:00:00.000;2;1;135.165.981;135.165.981
2010-01-01 00:00:00.000;10;1;92.306.989;92.306.989
2010-01-01 00:00:00.000;4;1;46.273.145;46.273.145
2010-01-01 00:00:00.000;4;4;42.747;42.747
2010-01-01 00:00:00.000;18;1;1.152.261;1.152.261
2010-01-01 00:00:00.000;19;1;20.335.397;20.335.397
2010-01-01 00:00:00.000;12;1;55.203;55.203
2010-01-01 00:00:00.000;8;1;4.076.629;4.076.629
2010-01-01 00:00:00.000;3;1;169.358;169.358
2010-01-01 00:00:00.000;17;1;12.838.624;12.838.624
2010-01-01 00:00:00.000;13;1;-1.087.279;-1.087.279
2010-01-01 00:00:00.000;19;4;743.786;743.786
2010-01-01 00:00:00.000;16;1;274.482;274.482
2010-01-01 00:00:00.000;9;1;950.103;950.103
2010-01-01 00:00:00.000;6;1;50.784;50.784
2010-01-01 00:00:00.000;5;1;466.776;466.776
2010-01-01 00:00:00.000;11;1;7.464.178;7.464.178
2010-02-01 00:00:00.000;2;1;217.707.174;82.541.193
2010-02-01 00:00:00.000;10;1;199.527.955;107.220.966
2010-02-01 00:00:00.000;4;1;60.422.262;14.149.117
2010-02-01 00:00:00.000;4;4;917.308;489.838
2010-02-01 00:00:00.000;18;1;1.755.756;603.495
2010-02-01 00:00:00.000;19;1;118.895.032;98.559.635
2010-02-01 00:00:00.000;12;1;102.013;4.681
2010-02-01 00:00:00.000;8;1;102.707.836;61.941.546
2010-02-01 00:00:00.000;3;1;1.611.326;1.441.968
2010-02-01 00:00:00.000;17;1;24.394.168;11.555.544
2010-02-01 00:00:00.000;13;1;-14.629.071;-3.756.281
2010-02-01 00:00:00.000;19;4;1.726.162;982.376
2010-02-01 00:00:00.000;16;1;1.008.378;733.896
2010-02-01 00:00:00.000;9;1;19.559.082;10.058.052
2010-02-01 00:00:00.000;6;1;413.474;36.269
2010-02-01 00:00:00.000;5;1;82.728;360.504
2010-02-01 00:00:00.000;11;1;13.563.397;6.099.219
2010-03-01 00:00:00.000;2;1;27939.84;61.691.226
2010-03-01 00:00:00.000;10;1;288.560.039;89.032.084
2010-03-01 00:00:00.000;4;1;7.558.835;15.166.088
2010-03-01 00:00:00.000;4;4;1.276.179;358.871
2010-03-01 00:00:00.000;18;1;1.993.446;23.769
2010-03-01 00:00:00.000;19;1;146.447.283;27.552.251
2010-03-01 00:00:00.000;12;1;31.447.143;3.134.513
2010-03-01 00:00:00.000;8;1;139.398.812;36.690.976
2010-03-01 00:00:00.000;3;1;3.094.381;1.483.055
2010-03-01 00:00:00.000;17;1;14.429.247;-9.964.921
2010-03-01 00:00:00.000;13;1;1.593.494;16.222.565
2010-03-01 00:00:00.000;19;4;2.484.011;757.849
2010-03-01 00:00:00.000;16;1;240.247;-768.131
2010-03-01 00:00:00.000;9;1;5.758.795;-13.800.287
2010-03-01 00:00:00.000;6;1;234.841;-178.633
2010-03-01 00:00:00.000;5;1;1.446.992;619.712
2010-03-01 00:00:00.000;11;1;1.980.663;6.243.233
2010-04-01 00:00:00.000;2;1;350.534.623;71.136.223
2010-04-01 00:00:00.000;10;1;367.951.613;79.391.574
